Comuna,Extensión Territorial,Población
Comuna 1,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 2,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 3,2006,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 4,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 5,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 6,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 7,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 8,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 9,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 10,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 11,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 12,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 13,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 14,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
Comuna 15,2005,A partir de la sanción de la Ley 1777Límites fijados en 2008
